Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,Ratio,YearBuilt,x,Y,CouncilArea,Latitude,Longitude,Regionname,Propertycount
Aberfeldie,5 Aroona Ct,1,House,1720000,PI,Nelson,15/10/2016,9.1,3040,3,2,1,676,136,0.201183432,1965,City of ,Moonee Valley,City of Moonee Valley,-37.7632,144.898,Western Metropolitan,1543
Aberfeldie,25 Beaver St,2,House,1705000,S,Nelson,15/10/2016,9.1,3040,2,1,2,809,131,0.161928307,1980,City of ,Moonee Valley,City of Moonee Valley,-37.7587,144.9015,Western Metropolitan,1543
Aberfeldie,21 May St,4,House,1346000,S,Nelson,8/10/2016,9.1,3040,2,2,2,559,204,0.364937388,1995,City of ,Moonee Valley,City of Moonee Valley,-37.7614,144.8925,Western Metropolitan,1543
Aberfeldie,1 Chisholm St,3,Unit,726000,S,Barry,24/09/2016,9.1,3040,3,1,1,229,111,0.484716157,1996,City of ,Moonee Valley,City of Moonee Valley,-37.7606,144.8973,Western Metropolitan,1543
Aberfeldie,4 Brunel Ct,3,House,1190000,S,Barry,17/09/2016,9.1,3040,3,1,1,465,115,0.247311828,1950,City of ,Moonee Valley,City of Moonee Valley,-37.7626,144.8954,Western Metropolitan,1543
Aberfeldie,2/30 Caroline St,3,Townhouse,935000,SP,Nelson,10/09/2016,9.1,3040,3,2,2,217,149,0.686635945,2005,City of ,Moonee Valley,City of Moonee Valley,-37.7591,144.8923,Western Metropolitan,1543
Aberfeldie,29 Beaver St,5,House,1740000,S,Nelson,18/06/2016,9.1,3040,3,3,2,839,247,0.294398093,1925,City of ,Moonee Valley,City of Moonee Valley,-37.759,144.9015,Western Metropolitan,1543
Aberfeldie,47 Clifton St,4,House,1350000,S,Nelson,28/05/2016,9.1,3040,3,2,2,1076,180,0.167286245,1960,City of ,Moonee Valley,City of Moonee Valley,-37.7609,144.8905,Western Metropolitan,1543
Aberfeldie,40 Clifton St,4,House,1646000,S,Rendina,4/03/2017,9.1,3040,4,3,2,757,157,0.207397622,1950,City of ,Moonee Valley,City of Moonee Valley,-37.7606,144.8909,Western Metropolitan,1543
Aberfeldie,2 May St,4,House,1150000,PI,Nelson,11/02/2017,9.1,3040,4,2,2,578,35,0.060553633,2010,City of ,Moonee Valley,City of Moonee Valley,-37.7614,144.8953,Western Metropolitan,1543
Aberfeldie,11 Muldowney St,3,Townhouse,1300000,SP,Barry,25/02/2017,9.1,3040,3,3,1,593,205,0.345699831,2016,City of ,Moonee Valley,City of Moonee Valley,-37.7584,144.8968,Western Metropolitan,1543
Aberfeldie,8/257 Buckley St,2,Unit,470000,S,Brad,7/05/2016,9.1,3040,2,1,1,976,71,0.072745902,2000,City of ,Moonee Valley,City of Moonee Valley,-37.7557,144.9037,Western Metropolitan,1543
Aberfeldie,2/65 Clifton St,3,House,1300000,S,Nelson,8/04/2017,9.1,3040,3,3,2,240,240,1,2013,City of ,Moonee Valley,City of Moonee Valley,-37.762,144.8916,Western Metropolitan,1543
Aberfeldie,2 Derry St,4,House,1740000,PI,Nelson,29/04/2017,9.1,3040,4,2,2,746,161,0.215817694,1950,City of ,Moonee Valley,City of Moonee Valley,-37.7595,144.8993,Western Metropolitan,1543
Aberfeldie,5 Rita St,5,House,2905000,S,Rendina,27/05/2017,7.5,3040,5,3,2,557,364,0.653500898,2010,City of ,Moonee Valley,City of Moonee Valley,-37.76181,144.89327,Western Metropolitan,1543
Aberfeldie,5 Aroona Ct,3,House,1680000,SP,Raine,22/07/2017,7.5,3040,3,2,2,673,136,0.202080238,1965,City of ,Moonee Valley,City of Moonee Valley,-37.76316,144.89799,Western Metropolitan,1543
Aberfeldie,1 Alma St,4,House,1436000,S,Brad,3/09/2017,7.5,3040,4,3,3,511,187,0.365949119,1922,City of ,Moonee Valley,City of Moonee Valley,-37.75788,144.90487,Western Metropolitan,1543
Aberfeldie,13 Valencia St,4,House,1650000,SP,Barry,16/09/2017,7.5,3040,4,2,1,484,186,0.384297521,1950,City of ,Moonee Valley,City of Moonee Valley,-37.7609,144.89886,Western Metropolitan,1543
Aberfeldie,10 Caroline St,5,House,1830000,S,Rendina,23/09/2017,7.5,3040,5,4,4,730,373,0.510958904,2014,City of ,Moonee Valley,City of Moonee Valley,-37.7595,144.89427,Western Metropolitan,1543
Aberfeldie,22 Aberfeldie St,4,House,2600000,S,Nelson,21/10/2017,7.5,3040,4,2,4,923,228,0.247020585,1925,City of ,Moonee Valley,City of Moonee Valley,-37.75923,144.90527,Western Metropolitan,1543
Aberfeldie,48 Fawkner St,4,House,1905000,SP,Brad,21/10/2017,7.5,3040,4,2,2,797,26,0.032622334,1930,City of ,Moonee Valley,City of Moonee Valley,-37.75857,144.89572,Western Metropolitan,1543
Aberfeldie,1A Vida St,3,Townhouse,1150000,S,Barry,11/11/2017,7.5,3040,3,2,1,224,193,0.861607143,2013,City of ,Moonee Valley,City of Moonee Valley,-37.7556,144.899,Western Metropolitan,1543
Aberfeldie,2 Knight St,5,House,1825000,VB,Nelson,18/11/2017,7.5,3040,5,2,2,691,301,0.435600579,1925,City of ,Moonee Valley,City of Moonee Valley,-37.756,144.9002,Western Metropolitan,1543
Airport West,23 Hart St,2,House,603000,S,Nelson,4/03/2017,13.5,3042,2,1,1,272,84,0.308823529,1950,City of ,Moonee Valley,City of Moonee Valley,-37.7294,144.888,Western Metropolitan,3464
Airport West,1/80 Hawker St,3,Townhouse,700000,S,Brad,4/03/2017,13.5,3042,3,2,2,239,134,0.560669456,2009,City of ,Moonee Valley,City of Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464
Airport West,1/37 Hillside Gr,3,House,600000,S,Maddison,4/03/2017,13.5,3042,2,1,1,290,116,0.4,1980,City of ,Moonee Valley,City of Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464
Airport West,2/49 McIntosh St,2,Unit,500000,VB,Barry,4/03/2017,13.5,3042,2,1,1,168,86,0.511904762,2011,City of ,Moonee Valley,City of Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464
Airport West,1/43 Cameron St,3,Unit,752000,S,Nelson,11/02/2017,13.5,3042,3,1,1,265,130,0.490566038,1993,City of ,Moonee Valley,City of Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464
Airport West,478 Fullarton Rd,3,House,810000,PI,Barry,18/03/2017,13.5,3042,3,3,2,555,192,0.345945946,1980,City of ,Moonee Valley,City of Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464
Airport West,144 Marshall Rd,3,House,715000,S,Rendina,18/03/2017,13.5,3042,3,2,2,422,126,0.298578199,1995,City of ,Moonee Valley,City of Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464
Airport West,85 Roberts Rd,4,House,900000,S,Harcourts,27/11/2016,13.5,3042,4,2,3,628,146,0.232484076,1975,City of ,Moonee Valley,City of Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464
Airport West,37 North St,3,Townhouse,825000,SP,Barry,19/11/2016,13.5,3042,3,2,1,293,102,0.348122867,1960,City of ,Moonee Valley,City of Moonee Valley,-37.72,144.8776,Western Metropolitan,3464
Airport West,3/19 Hart St,2,Unit,515000,S,Barry,7/11/2016,13.5,3042,2,1,1,141,73,0.517730496,2013,City of ,Moonee Valley,City of Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464
Airport West,2/40 Earl St,3,Townhouse,700000,PI,Brad,15/10/2016,13.5,3042,3,2,2,165,133,0.806060606,2009,City of ,Moonee Valley,City of Moonee Valley,-37.727,144.887,Western Metropolitan,3464
Airport West,6 Kittyhawk St,4,House,773000,S,Brad,17/09/2016,13.5,3042,5,3,4,531,309,0.581920904,1980,City of ,Moonee Valley,City of Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464
Airport West,2/62 Clydesdale Rd,2,Unit,530000,S,Nelson,10/09/2016,13.5,3042,2,1,1,120,94,0.783333333,2012,City of ,Moonee Valley,City of Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464
Airport West,3 Deidre Ct,3,House,895000,PI,Rendina,10/09/2016,13.5,3042,3,1,6,1063,133,0.125117592,1975,City of ,Moonee Valley,City of Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464
Airport West,154 Halsey Rd,3,Townhouse,840000,PI,Nelson,3/09/2016,13.5,3042,3,2,1,303,225,0.742574257,2016,City of ,Moonee Valley,City of Moonee Valley,-37.718,144.878,Western Metropolitan,3464
Airport West,2/13 North St,2,Unit,510000,S,Nelson,22/08/2016,13.5,3042,2,1,1,141,76,0.539007092,,City of ,Moonee Valley,City of Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464
Airport West,36 Roberts Rd,4,House,785000,S,Considine,6/08/2016,13.5,3042,3,1,2,597,127,0.212730318,,City of ,Moonee Valley,City of Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464
Airport West,174 Parer Rd,2,House,675000,S,Barry,16/07/2016,13.5,3042,2,1,1,612,100,0.163398693,1975,City of ,Moonee Valley,City of Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464
Airport West,138 Victory Rd,3,House,1042000,S,Nelson,16/07/2016,13.5,3042,3,2,5,612,174,0.284313725,1950,City of ,Moonee Valley,City of Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464
Airport West,3/7 South Rd,3,Townhouse,540000,SP,Nelson,18/06/2016,13.5,3042,2,2,1,161,101,0.627329193,2010,City of ,Moonee Valley,City of Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464
Airport West,10 Hilbert Rd,3,House,685000,S,Barry,22/05/2016,13.5,3042,3,1,1,579,113,0.195164076,1975,City of ,Moonee Valley,City of Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464
Airport West,11 Harrington Rd,6,House,725000,SP,Barry,7/05/2016,13.5,3042,6,3,2,976,186,0.19057377,1980,City of ,Moonee Valley,City of Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464
Airport West,2/252 Parer Rd,2,Townhouse,450000,S,Barry,7/05/2016,13.5,3042,2,1,1,110,90,0.818181818,2015,City of ,Moonee Valley,City of Moonee Valley,-37.7216,144.871,Western Metropolitan,3464
Airport West,180 Parer Rd,3,House,830000,S,Barry,16/04/2016,13.5,3042,3,1,2,971,113,0.116374871,1960,City of ,Moonee Valley,City of Moonee Valley,-37.7186,144.876,Western Metropolitan,3464
Airport West,33 Green St,3,House,720000,S,Brad,8/04/2017,13.5,3042,3,2,2,305,136,0.445901639,2008,City of ,Moonee Valley,City of Moonee Valley,-37.7284,144.8874,Western Metropolitan,3464
Airport West,67 Halsey Rd,3,House,510000,VB,Nelson,29/04/2017,13.5,3042,3,1,1,488,217,0.444672131,1960,City of ,Moonee Valley,City of Moonee Valley,-37.7191,144.8857,Western Metropolitan,3464
Airport West,2/80 Hawker St,2,Unit,480000,VB,Barry,29/04/2017,13.5,3042,2,1,1,128,92,0.71875,2009,City of ,Moonee Valley,City of Moonee Valley,-37.7216,144.8837,Western Metropolitan,3464
Airport West,118 Marshall Rd,3,House,640000,S,Nelson,1/07/2017,10.4,3042,3,1,2,219,101.37,0.462876712,1960,City of ,Moonee Valley,City of Moonee Valley,-37.71655,144.88155,Western Metropolitan,3464
Airport West,18A Hart St,3,Townhouse,730000,S,Brad,17/06/2017,10.4,3042,3,1,2,242,124,0.512396694,2010,City of ,Moonee Valley,City of Moonee Valley,-37.72893,144.88859,Western Metropolitan,3464
Airport West,163 Halsey Rd,2,House,650000,S,Prime,27/05/2017,10.4,3042,2,1,3,374,96,0.256684492,1950,City of ,Moonee Valley,City of Moonee Valley,-37.71811,144.87693,Western Metropolitan,3464
Airport West,127A Parer Rd,3,Townhouse,856000,S,Barry,27/05/2017,10.4,3042,3,2,1,300,212,0.706666667,2011,City of ,Moonee Valley,City of Moonee Valley,-37.71917,144.87819,Western Metropolitan,3464
Airport West,3/26 Highridge Cr,3,Unit,670000,S,Nelson,8/07/2017,10.4,3042,3,1,2,169,153,0.905325444,2000,City of ,Moonee Valley,City of Moonee Valley,-37.72752,144.88358,Western Metropolitan,3464
Airport West,10A Coniston Av,3,Townhouse,780000,S,RE,29/07/2017,10.4,3042,3,2,1,195,192,0.984615385,2005,City of ,Moonee Valley,City of Moonee Valley,-37.7325,144.88272,Western Metropolitan,3464
Airport West,34 Green St,3,House,1000001,S,Nelson,9/09/2017,10.4,3042,3,2,1,697,163,0.233859397,2017,City of ,Moonee Valley,City of Moonee Valley,-37.72812,144.88735,Western Metropolitan,3464
Airport West,16 Highridge Cr,3,House,850000,S,Brad,23/09/2017,10.4,3042,3,1,2,551,96,0.174228675,1950,City of ,Moonee Valley,City of Moonee Valley,-37.72739,144.88235,Western Metropolitan,3464
Airport West,18 Glenys Av,3,House,790000,S,Raine,7/10/2017,10.4,3042,3,1,5,536,108,0.201492537,1980,City of ,Moonee Valley,City of Moonee Valley,-37.72285,144.87539,Western Metropolitan,3464
Airport West,3 Chancellor Rd,3,House,730000,VB,Nelson,14/10/2017,10.4,3042,3,2,1,548,130,0.237226277,2017,City of ,Moonee Valley,City of Moonee Valley,-37.72741,144.87919,Western Metropolitan,3464
Airport West,29 Hilbert Rd,3,House,770000,PI,Barry,14/10/2017,10.4,3042,3,2,2,616,160,0.25974026,1960,City of ,Moonee Valley,City of Moonee Valley,-37.72367,144.87059,Western Metropolitan,3464
Airport West,31 Kingsley Rd,3,House,805000,S,Nelson,14/10/2017,10.4,3042,3,1,2,540,100,0.185185185,1960,City of ,Moonee Valley,City of Moonee Valley,-37.72459,144.87406,Western Metropolitan,3464
Airport West,25 Glenys Av,3,House,730000,S,Barry,21/10/2017,10.4,3042,3,1,1,377,111,0.294429708,1970,City of ,Moonee Valley,City of Moonee Valley,-37.72313,144.87527,Western Metropolitan,3464
Airport West,108 Victory Rd,3,House,926000,S,Nelson,21/10/2017,10.4,3042,3,1,2,614,129,0.21009772,1960,City of ,Moonee Valley,City of Moonee Valley,-37.71757,144.88228,Western Metropolitan,3464
Airport West,49 Bedford St,4,House,965000,PI,Nelson,28/10/2017,10.4,3042,4,2,1,730,125,0.171232877,1950,City of ,Moonee Valley,City of Moonee Valley,-37.7204,144.87419,Western Metropolitan,3464
Airport West,11 Harrington Rd,6,House,870000,VB,Barry,28/10/2017,10.4,3042,6,3,2,976,186,0.19057377,1980,City of ,Moonee Valley,City of Moonee Valley,-37.72394,144.87348,Western Metropolitan,3464
Airport West,60 Hilbert Rd,3,House,845000,S,Barry,28/10/2017,10.4,3042,3,3,3,612,30,0.049019608,1970,City of ,Moonee Valley,City of Moonee Valley,-37.72483,144.87087,Western Metropolitan,3464
Airport West,32 Coniston Av,3,House,970000,S,Barry,6/01/2018,10.4,3042,3,1,2,634,140,0.220820189,1960,City of ,Moonee Valley,City of Moonee Valley,-37.72904,144.88259,Western Metropolitan,3464
Airport West,23 Matthews Av,4,House,790000,VB,Barry,6/01/2018,10.4,3042,4,2,1,585,178,0.304273504,2015,City of ,Moonee Valley,City of Moonee Valley,-37.73344,144.88925,Western Metropolitan,3464
Airport West,35 Cameron St,3,House,776000,S,Nelson,9/12/2017,10.4,3042,3,2,2,190,134,0.705263158,2012,City of ,Moonee Valley,City of Moonee Valley,-37.73026,144.88652,Western Metropolitan,3464
Airport West,58 Fraser St,4,House,1220000,S,Barry,9/12/2017,10.4,3042,4,2,5,585,214,0.365811966,1960,City of ,Moonee Valley,City of Moonee Valley,-37.72379,144.88391,Western Metropolitan,3464
Airport West,78 King St,5,House,1025000,VB,Jellis,20/01/2018,10.4,3042,5,2,3,764,251,0.328534031,1980,City of ,Moonee Valley,City of Moonee Valley,-37.72282,144.88373,Western Metropolitan,3464
Airport West,8 McNamara Av,3,House,975000,S,Nelson,3/03/2018,10.4,3042,3,2,1,303,248,0.818481848,2017,City of ,Moonee Valley,City of Moonee Valley,-37.73174,144.88086,Western Metropolitan,3464
Airport West,38a North St,3,Townhouse,891000,S,Nelson,3/03/2018,10.4,3042,3,2,2,314,160,0.50955414,2017,City of ,Moonee Valley,City of Moonee Valley,-37.71968,144.87756,Western Metropolitan,3464
Airport West,155a Parer Rd,2,Unit,530000,S,Barry,17/03/2018,10.4,3042,2,1,1,273,80,0.293040293,,City of ,Moonee Valley,City of Moonee Valley,-37.71903,144.87558,Western Metropolitan,3464
Albanvale,10 Elinga Ct,3,House,555000,SP,Sweeney,29/07/2017,14,3021,3,1,3,566,126,0.222614841,1980,City of ,Brimbank,City of Brimbank,-37.74306,144.76679,Western Metropolitan,1899
Albanvale,35 Angelique Gr,3,House,506000,S,hockingstuart,19/08/2017,14,3021,3,1,2,544,120,0.220588235,1980,City of ,Brimbank,City of Brimbank,-37.74965,144.77009,Western Metropolitan,1899
Albanvale,1 Fernhill Ct,4,House,560000,S,Barry,11/11/2017,14,3021,4,1,2,546,149,0.272893773,1978,City of ,Brimbank,City of Brimbank,-37.744,144.7672,Western Metropolitan,1899
Albert Park,112 Beaconsfield Pde,3,House,2850000,PI,Buxton,4/03/2017,3.3,3206,3,2,0,211,198,0.938388626,1890,City of ,Port Phillip,City of Port Phillip,-37.8481,144.9499,Southern Metropolitan,3280
Albert Park,396 Montague St,2,House,1436000,S,RT,4/03/2017,3.3,3206,2,1,0,130,81,0.623076923,1900,City of ,Port Phillip,City of Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280
Albert Park,97 Page St,3,House,3010000,S,Greg,18/03/2017,3.3,3206,3,2,0,147,146,0.993197279,1890,City of ,Port Phillip,City of Port Phillip,-37.8473,144.9551,Southern Metropolitan,3280
Albert Park,115 Page St,4,House,4735000,S,Marshall,25/02/2017,3.3,3206,4,2,1,330,207,0.627272727,1910,City of ,Port Phillip,City of Port Phillip,-37.8477,144.9558,Southern Metropolitan,3280
Albert Park,65 Graham St,2,House,1322500,S,Greg,15/10/2016,3.3,3206,2,1,0,149,98,0.657718121,1890,City of ,Port Phillip,City of Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280
Albert Park,364 Montague St,2,House,1562500,S,Greg,15/10/2016,3.3,3206,2,1,0,141,83,0.588652482,1890,City of ,Port Phillip,City of Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280
Albert Park,49 Page St,3,House,2000000,PI,Marshall,24/09/2016,3.3,3206,3,1,1,238,131,0.550420168,1890,City of ,Port Phillip,City of Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280
Albert Park,29 Faussett St,2,House,2120000,S,Greg,10/09/2016,3.3,3206,2,1,1,199,107,0.537688442,1900,City of ,Port Phillip,City of Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280
Albert Park,105 Kerferd Rd,2,House,1275000,S,hockingstuart,3/09/2016,3.3,3206,2,1,0,120,82,0.683333333,1900,City of ,Port Phillip,City of Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280
Albert Park,17 Reed St,3,House,1740000,PI,Marshall,28/08/2016,3.3,3206,3,2,2,147,134,0.911564626,1890,City of ,Port Phillip,City of Port Phillip,-37.8448,144.9453,Southern Metropolitan,3280
Albert Park,9 Durham St,1,House,985000,S,Marshall,30/07/2016,3.3,3206,1,1,0,81,54,0.666666667,1900,City of ,Port Phillip,City of Port Phillip,-37.8411,144.9497,Southern Metropolitan,3280
Albert Park,27 Barrett St,4,House,2140000,S,Greg,27/06/2016,3.3,3206,3,2,1,183,145,0.792349727,1880,City of ,Port Phillip,City of Port Phillip,-37.8434,144.9495,Southern Metropolitan,3280
Albert Park,55 Withers St,4,House,2800000,VB,Cayzer,18/06/2016,3.3,3206,4,3,1,327,254,0.77675841,1910,City of ,Port Phillip,City of Port Phillip,-37.8467,144.9475,Southern Metropolitan,3280
Albert Park,6 Brooke St,2,House,980000,S,Greg,28/05/2016,3.3,3206,2,1,0,79,68,0.860759494,1890,City of ,Port Phillip,City of Port Phillip,-37.8387,144.9519,Southern Metropolitan,3280
Albert Park,86 Mills St,3,House,2000000,VB,RT,16/04/2016,3.3,3206,3,2,1,211,147,0.696682464,1900,City of ,Port Phillip,City of Port Phillip,-37.847,144.9575,Southern Metropolitan,3280
Albert Park,4 Ashworth St,3,House,1700000,VB,Greg,6/05/2017,3.3,3206,3,1,1,178,116,0.651685393,1910,City of ,Port Phillip,City of Port Phillip,-37.8473,144.9495,Southern Metropolitan,3280
Albert Park,91 Page St,3,House,2150000,S,Marshall,20/05/2017,3.3,3206,3,1,1,163,85,0.521472393,1890,City of ,Port Phillip,City of Port Phillip,-37.8473,144.955,Southern Metropolitan,3280
Albert Park,46 Withers St,2,House,1190000,S,RT,29/04/2017,3.3,3206,2,1,0,111,70,0.630630631,1915,City of ,Port Phillip,City of Port Phillip,-37.8445,144.9489,Southern Metropolitan,3280
Albert Park,21 Greig St,3,House,2500000,VB,Greg,3/06/2017,3,3206,3,2,1,165,148.5,0.9,1890,City of ,Port Phillip,City of Port Phillip,-37.84152,144.95027,Southern Metropolitan,3280
Albert Park,3/78 Kerferd Rd,2,Unit,685000,PI,Greg,24/06/2017,3,3206,2,1,0,324,58,0.179012346,1930,City of ,Port Phillip,City of Port Phillip,-37.84469,144.95578,Southern Metropolitan,3280
Albert Park,96 Danks St,3,House,1505000,S,Cayzer,27/05/2017,3,3206,3,1,1,149,109,0.731543624,1890,City of ,Port Phillip,City of Port Phillip,-37.84587,144.94828,Southern Metropolitan,3280
